电影名,导演,评分,评价人数,评价
肖申克的救赎/The Shawshank Redemption/月黑高飞(港)/刺激1995(台),弗兰克·德拉邦特 Frank Darabont,9.7,3264066人,希望让人自由。
霸王别姬//再见，我的妾/Farewell My Concubine,陈凯歌 Kaige Chen,9.6,2407972人,风华绝代。
泰坦尼克号/Titanic/铁达尼号(港/台),詹姆斯·卡梅隆 James Cameron,9.5,2481764人,失去的才是永恒的。
阿甘正传/Forrest Gump/福雷斯特·冈普,罗伯特·泽米吉斯 Robert Zemeckis,9.5,2416406人,一部美国近现代史。
千与千寻/千と千尋の神隠し/神隐少女(台)/千与千寻的神隐,宫崎骏 Hayao Miyazaki,9.4,2520377人,最好的宫崎骏，最好的久石让。
美丽人生/La vita è bella/一个快乐的传说(港)/Life Is Beautiful,罗伯托·贝尼尼 Roberto Benigni,9.5,1473470人,最美的谎言。
星际穿越/Interstellar/星际启示录(港)/星际效应(台),克里斯托弗·诺兰 Christopher Nolan,9.4,2162905人,爱是一种力量，让我们超越时空感知它的存在。
这个杀手不太冷/Léon/终极追杀令(台)/杀手莱昂,吕克·贝松 Luc Besson,9.4,2539348人,怪蜀黍和小萝莉不得不说的故事。
盗梦空间/Inception/潜行凶间(港)/全面启动(台),克里斯托弗·诺兰 Christopher Nolan,9.4,2311251人,诺兰给了我们一场无法盗取的梦。
楚门的世界/The Truman Show/真人Show(港)/真人戏,彼得·威尔 Peter Weir,9.4,2002640人,如果再也不能见到你，祝你早安，午安，晚安。
辛德勒的名单/Schindler's List/舒特拉的名单(港)/辛德勒名单,史蒂文·斯皮尔伯格 Steven Spielberg,9.5,1240419人,拯救一个人，就是拯救整个世界。
忠犬八公的故事/Hachi: A Dog's Tale/秋田犬八千(港)/忠犬小八(台),莱塞·霍尔斯道姆 Lasse Hallström,9.4,1535078人,永远都不能忘记你所爱的人。
海上钢琴师/La leggenda del pianista sull'oceano/声光伴我飞(港)/一九零零的传奇,朱塞佩·托纳多雷 Giuseppe Tornatore,9.3,1868959人,每个人都要走一条自己坚定了的路，就算是粉身碎骨。
疯狂动物城/Zootopia/优兽大都会(港)/动物方城市(台),拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,9.3,2300595人,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
